Date,Price,Open,High,Low,Volume,Change(%)
20 Jun 2024,2947.4,2918,2965.7,2900.2,8056888,1.03%
19 Jun 2024,2917.3,2975,2975,2912,4362937,-1.51%
18 Jun 2024,2962.05,2974.7,2974.8,2942.7,3598383,0.24%
14 Jun 2024,2955.1,2940,2959.35,2914.45,4078999,0.84%
13 Jun 2024,2930.5,2944,2944.5,2920.2,4590580,0.13%
12 Jun 2024,2926.65,2915,2952,2910.35,5040871,0.46%
11 Jun 2024,2913.35,2938,2947.35,2909.35,5887451,-1.00%
10 Jun 2024,2942.8,2939.9,2986.7,2936.15,4625880,0.10%
07 Jun 2024,2939.9,2857,2944,2853,9279348,2.68%
06 Jun 2024,2863.2,2870,2887.4,2842.7,8927861,0.76%
05 Jun 2024,2841.5,2844,2862.3,2768.2,8732445,1.68%
04 Jun 2024,2794.55,2996.1,2996.1,2718.6,18354549,-7.49%
03 Jun 2024,3020.65,2966,3029,2918,10763971,5.59%
31 May 2024,2860.8,2862.6,2884.5,2844.5,15534916,0.39%
30 May 2024,2849.7,2871,2880.8,2840.2,6603429,-1.11%
29 May 2024,2881.55,2893,2916,2876.9,3691778,-1.06%
28 May 2024,2912.4,2936,2957,2905.5,3910081,-0.69%
27 May 2024,2932.5,2960.45,2969.8,2923.1,3314505,-0.95%
24 May 2024,2960.5,2967.25,2977,2952.2,3547388,-0.39%
23 May 2024,2972.1,2917.1,2984.45,2910,7304130,1.74%
22 May 2024,2921.3,2872.55,2937.55,2872.55,5140802,1.71%
21 May 2024,2872.25,2851.2,2883.65,2851.2,5588064,0.09%
18 May 2024,2869.65,2875,2879,2865.4,213020,-0.06%
17 May 2024,2871.4,2846.1,2874.4,2826.5,5458238,0.73%
16 May 2024,2850.7,2837.1,2855,2796.05,7355887,0.64%
15 May 2024,2832.55,2841,2859.95,2826.05,2523267,-0.27%
14 May 2024,2840.15,2801.95,2854.15,2800.05,3594150,1.24%
13 May 2024,2805.4,2799.8,2813.95,2768,4228310,-0.34%
10 May 2024,2814.85,2793.5,2820,2776.15,5252548,0.95%
09 May 2024,2788.25,2826,2847.5,2780,5504806,-1.72%
08 May 2024,2837.1,2795,2865.9,2795,4719501,1.22%
07 May 2024,2802.95,2831.95,2841.5,2784,7258736,-1.27%
06 May 2024,2839.05,2871,2880,2836,3697104,-1.01%
03 May 2024,2868,2942,2949.9,2832.3,8613479,-2.22%
02 May 2024,2933.1,2944,2954.65,2928.25,7256323,-0.03%
30 Apr 2024,2934,2936,2966.15,2925.75,5737131,0.13%
29 Apr 2024,2930.05,2900,2935.8,2900,3623987,0.86%
26 Apr 2024,2905.1,2927.9,2930,2900,4706924,-0.51%
25 Apr 2024,2919.95,2885,2935.95,2883,7971963,0.68%
24 Apr 2024,2900.35,2927,2937.1,2899,5231388,-0.63%
23 Apr 2024,2918.65,2958,2987,2911.1,7302777,-1.39%
22 Apr 2024,2959.7,2944.9,2965.65,2935.6,5175181,0.66%
19 Apr 2024,2940.25,2913.55,2948,2886.05,7870889,0.40%
18 Apr 2024,2928.65,2927,2972,2918.7,9502846,-0.10%
16 Apr 2024,2931.5,2906.7,2942.35,2901.85,4683092,0.06%
15 Apr 2024,2929.65,2922,2964.25,2892.65,6451031,-0.16%
12 Apr 2024,2934.3,2951.75,2972.95,2926.15,7775506,-0.84%
10 Apr 2024,2959.15,2932.7,2974,2932.7,4569165,1.09%
09 Apr 2024,2927.3,2978,2979.6,2925,3535707,-1.50%
08 Apr 2024,2971.95,2925.95,2981.95,2922,4178559,1.77%
05 Apr 2024,2920.2,2921.75,2941.6,2912,3721149,-0.19%
04 Apr 2024,2925.85,2959.5,2959.5,2900,7245136,-0.59%
03 Apr 2024,2943.2,2964.15,2968.9,2937.8,3504146,-1.03%
02 Apr 2024,2973.9,2968,2988,2950,4455083,0.15%
01 Apr 2024,2969.55,2984.95,2987.95,2965,2506940,-0.07%
28 Mar 2024,2971.7,2985.75,3011.9,2957.3,10927182,-0.47%
27 Mar 2024,2985.7,2896,3000,2894,8163322,3.56%
26 Mar 2024,2883.15,2890,2904.8,2878,5707953,-0.92%
22 Mar 2024,2910.05,2899.95,2920,2894.7,9763804,0.28%
21 Mar 2024,2901.95,2905.05,2915.8,2889.35,6503468,0.50%
20 Mar 2024,2887.5,2855.9,2890,2848.05,4244403,1.30%
19 Mar 2024,2850.5,2857.5,2875.2,2834.5,4137882,-0.99%
18 Mar 2024,2878.95,2840,2883.45,2833.05,4584696,1.50%
15 Mar 2024,2836.45,2851.9,2866.45,2825.8,9611909,-0.93%
14 Mar 2024,2862.95,2879.4,2897.05,2851,9285551,-0.05%
13 Mar 2024,2864.35,2959.55,2966.2,2855.55,6761067,-2.93%
12 Mar 2024,2950.85,2933.2,2976,2930.05,4716339,0.60%
11 Mar 2024,2933.2,2978,2978,2927,5638565,-0.83%
07 Mar 2024,2957.85,3005.95,3006.2,2951.1,4157863,-1.60%
06 Mar 2024,3006,2986.9,3018,2957,3902838,0.19%
05 Mar 2024,3000.4,3011.55,3014.8,2972.1,3553834,-0.48%
04 Mar 2024,3014.8,2980.95,3024.9,2974.45,5012210,1.09%
02 Mar 2024,2982.15,2984,3000.9,2976,358150,-0.07%
01 Mar 2024,2984.25,2927,3000,2925,6066463,2.14%
29 Feb 2024,2921.6,2930,2957.95,2909.05,11814488,0.36%
28 Feb 2024,2911.25,2966,2982.55,2900.35,4323975,-2.02%
27 Feb 2024,2971.3,2966.05,2999.9,2956.1,5413022,-0.11%
26 Feb 2024,2974.65,2987.1,2989.05,2965,3756553,-0.42%
23 Feb 2024,2987.25,2979,2995.1,2966.7,7219292,0.80%
22 Feb 2024,2963.5,2936.3,2969.9,2916,9246864,0.96%
21 Feb 2024,2935.4,2948,2977.05,2915.1,6360146,-0.23%
20 Feb 2024,2942.05,2950.05,2951,2923.6,3558748,-0.20%
19 Feb 2024,2948,2924.1,2959,2907.05,3364914,0.92%
16 Feb 2024,2921.15,2952.95,2954,2917.1,4883749,-0.68%
15 Feb 2024,2941.2,2966.7,2969.45,2933.05,5003391,-0.73%
14 Feb 2024,2962.75,2915,2967.3,2915,3558944,1.11%
13 Feb 2024,2930.2,2911,2958,2908,3857797,0.88%
12 Feb 2024,2904.7,2921.5,2922,2884.7,3337215,-0.58%
09 Feb 2024,2921.5,2908,2943.95,2901.9,6278399,0.73%
08 Feb 2024,2900.25,2900,2918.95,2855.05,7347317,0.55%
07 Feb 2024,2884.3,2871.85,2899,2858.5,4648284,1.01%
06 Feb 2024,2855.6,2883.7,2883.7,2839.65,4523992,-0.78%
05 Feb 2024,2878.05,2921.5,2941,2863.05,4407216,-1.28%
02 Feb 2024,2915.4,2866.35,2949.8,2866.35,9826294,2.18%
01 Feb 2024,2853.3,2870,2886.7,2836.1,6674681,0.00%
31 Jan 2024,2853.25,2808,2868.5,2805,7565113,1.35%
30 Jan 2024,2815.25,2919.9,2919.95,2808.85,7046989,-2.79%
29 Jan 2024,2896.1,2729,2905,2720.35,11946719,7.02%
25 Jan 2024,2706.15,2685.9,2728.3,2670.4,5904436,0.68%
24 Jan 2024,2687.75,2670.45,2699,2647.85,10959564,1.15%
23 Jan 2024,2657.15,2743.5,2743.5,2645.1,10027710,-2.07%
20 Jan 2024,2713.3,2730,2766.95,2700,3641697,-0.79%
19 Jan 2024,2734.9,2752,2752,2718,5211352,-0.04%
18 Jan 2024,2735.9,2702.8,2742,2702.5,5139719,0.47%
17 Jan 2024,2723.15,2719,2772.55,2710.05,6098691,-0.95%
16 Jan 2024,2749.25,2779.95,2792.6,2741,4534512,-1.40%
15 Jan 2024,2788.25,2750,2792.9,2732,4305297,1.71%
12 Jan 2024,2741.45,2719.8,2746.65,2691.5,7506082,0.80%
11 Jan 2024,2719.8,2659,2725,2657,11862926,2.63%
10 Jan 2024,2650.1,2577,2659,2575.05,5551370,2.70%
09 Jan 2024,2580.5,2600,2606.8,2577.2,2701537,-0.26%
08 Jan 2024,2587.35,2610,2631.95,2568.95,3867326,-0.78%
05 Jan 2024,2607.7,2602.9,2619.85,2598,4043203,0.43%
04 Jan 2024,2596.65,2588,2609.85,2579.1,4806389,0.52%
03 Jan 2024,2583.3,2610,2634,2577.2,4518768,-1.09%
02 Jan 2024,2611.7,2585,2615,2573,3724400,0.83%
01 Jan 2024,2590.25,2580.55,2606.85,2573.15,2015270,0.21%
29 Dec 2023,2584.95,2611.1,2614,2579.3,5432292,-0.79%
28 Dec 2023,2605.55,2589.8,2612,2586.85,6151318,0.72%
27 Dec 2023,2586.85,2582,2599.9,2573.1,4602078,0.34%
26 Dec 2023,2578.05,2568,2591.95,2562.7,3732832,0.51%
22 Dec 2023,2565.05,2559.6,2580.9,2547.65,8270892,0.10%
21 Dec 2023,2562.55,2527,2573.5,2518.25,6882727,1.40%
20 Dec 2023,2527.15,2571.05,2598.85,2520,8868361,-1.21%
19 Dec 2023,2558.1,2555,2573.9,2525.2,8410302,1.47%
18 Dec 2023,2521,2495.6,2534.9,2490.95,7082594,1.02%
15 Dec 2023,2495.6,2478,2500,2470.05,7966076,1.28%
14 Dec 2023,2464.15,2454,2474.95,2442.65,8486177,1.24%
13 Dec 2023,2433.95,2422,2438.35,2406.3,5015591,0.41%
12 Dec 2023,2424.05,2460,2464.95,2420.15,4598562,-1.44%
11 Dec 2023,2459.35,2456,2467.6,2452.4,3533069,0.15%
08 Dec 2023,2455.75,2463.85,2476.7,2445,5102447,-0.05%
07 Dec 2023,2457.05,2460,2460.95,2442,4071048,-0.16%
06 Dec 2023,2461.1,2447.1,2472.95,2435,8211221,0.96%
05 Dec 2023,2437.75,2439,2440.85,2421.65,6346812,0.73%
04 Dec 2023,2420.2,2450,2450,2398.6,7795495,1.08%
01 Dec 2023,2394.3,2378,2396.4,2377.6,7171421,0.71%
30 Nov 2023,2377.45,2394.7,2400.7,2369.9,14219992,-0.97%
29 Nov 2023,2400.7,2408,2411.95,2398.05,6265653,0.26%
28 Nov 2023,2394.4,2393.9,2399.7,2375.25,6896087,0.02%
24 Nov 2023,2393.9,2391.6,2402.6,2391.05,3374743,-0.07%
23 Nov 2023,2395.5,2388.2,2400,2388.2,4265771,0.31%
22 Nov 2023,2388.2,2375,2394.45,2372.2,4267407,0.39%
21 Nov 2023,2378.9,2366,2388,2360.2,4107225,1.26%
20 Nov 2023,2349.35,2348.55,2358.4,2336.4,2245093,-0.26%
17 Nov 2023,2355.55,2352.9,2373.25,2352.05,3879317,-0.22%
16 Nov 2023,2360.7,2351.1,2374.15,2346.95,6567455,0.18%
15 Nov 2023,2356.45,2340,2361.95,2327,6110324,1.81%
13 Nov 2023,2314.6,2322.9,2324.6,2311.7,1927405,-0.69%
12 Nov 2023,2330.65,2326.05,2332,2322.5,709922,0.68%
10 Nov 2023,2314.9,2305.55,2316.35,2298.05,3867477,0.19%
09 Nov 2023,2310.55,2335.85,2335.9,2304.2,7256805,-1.09%
08 Nov 2023,2335.9,2332,2341,2321.75,3942247,0.52%
07 Nov 2023,2323.8,2334.05,2339.1,2319.55,3480102,-0.65%
06 Nov 2023,2339,2332.3,2340,2325.6,5323652,0.83%
03 Nov 2023,2319.7,2327.2,2334.95,2315.75,4425078,-0.02%
02 Nov 2023,2320.2,2313.95,2324.3,2307.95,5281052,0.99%
01 Nov 2023,2297.4,2289.15,2317.5,2275.2,5154595,0.42%
31 Oct 2023,2287.9,2328,2328,2282.9,6404219,-1.06%
30 Oct 2023,2312.5,2274,2325,2269.95,8406652,2.06%
27 Oct 2023,2265.8,2240,2273.5,2235.95,5885542,1.77%
26 Oct 2023,2226.5,2251,2258,2220.3,7611267,-1.39%
25 Oct 2023,2257.95,2250.05,2281.2,2243,5810344,-0.23%
23 Oct 2023,2263.2,2290,2306.25,2255.25,3926981,-1.56%
20 Oct 2023,2299.1,2300,2314.7,2296.3,4456656,-0.31%
19 Oct 2023,2306.15,2312,2321.8,2301,6016278,-0.77%
18 Oct 2023,2324,2355.25,2367,2321,4459160,-1.33%
17 Oct 2023,2355.25,2356,2359.7,2341.3,3964090,0.48%
16 Oct 2023,2344.05,2345,2354.55,2336,2964518,-0.22%
13 Oct 2023,2349.3,2340,2357.5,2329.15,5075158,0.00%
12 Oct 2023,2349.4,2343.85,2359.35,2338.15,6277225,0.19%
11 Oct 2023,2345.05,2314.45,2349.7,2313,4907059,1.59%
10 Oct 2023,2308.4,2306.55,2317.9,2303.75,5118016,0.44%
09 Oct 2023,2298.25,2308.1,2311.95,2295,3788439,-0.85%
06 Oct 2023,2318,2317.05,2324.8,2312.05,2715513,0.17%
05 Oct 2023,2314.1,2319.25,2329.4,2309,5476841,0.00%
04 Oct 2023,2314.15,2309,2319,2295.1,5143193,-0.17%
03 Oct 2023,2318.15,2329.95,2335.6,2316,4429528,-1.14%
29 Sep 2023,2345,2341.8,2369.1,2334.1,6171007,0.47%
28 Sep 2023,2334.1,2383,2383,2325,7259173,-1.47%
27 Sep 2023,2368.9,2343.5,2371.8,2338.5,5861389,1.13%
26 Sep 2023,2342.5,2338.55,2350.2,2335.6,5043891,0.09%
25 Sep 2023,2340.45,2350.4,2360.7,2335.1,7127442,-0.62%
22 Sep 2023,2354.95,2376,2382.45,2350,9588393,-0.42%
21 Sep 2023,2364.8,2374.95,2390.1,2360,6113091,-0.73%
20 Sep 2023,2382.15,2423.05,2427.6,2355,28540942,-2.23%
18 Sep 2023,2436.45,2440.05,2451,2432.05,3758150,-0.87%
15 Sep 2023,2457.85,2468,2468,2449.5,12734296,0.19%
14 Sep 2023,2453.3,2460,2465.8,2445,4604818,0.09%
13 Sep 2023,2451.05,2440,2462.65,2426.25,6401669,0.50%
12 Sep 2023,2438.85,2483,2483,2435.95,8127833,-1.44%
11 Sep 2023,2474.6,2452,2476.85,2452,6635537,1.08%
08 Sep 2023,2448.2,2440,2456,2422.95,11554644,0.67%
07 Sep 2023,2432,2421.7,2438.25,2411,6826286,0.14%
06 Sep 2023,2428.7,2421.1,2436.15,2417.25,4100185,0.21%
05 Sep 2023,2423.6,2420,2433.95,2412.45,4337938,0.54%
04 Sep 2023,2410.7,2412.65,2423.65,2405.3,4673813,-0.08%
01 Sep 2023,2412.65,2406.55,2425.65,2401.65,9056421,0.23%
31 Aug 2023,2407,2423,2425,2399.9,10819300,-0.46%
30 Aug 2023,2418.05,2432,2443,2415,6084473,-0.10%
29 Aug 2023,2420.35,2452.05,2453.45,2408.15,8438322,-0.96%
28 Aug 2023,2443.75,2472,2484,2431.1,6290413,-1.00%
25 Aug 2023,2468.35,2456,2505,2442.6,11111200,-0.46%
24 Aug 2023,2479.8,2539.9,2539.9,2471,7070010,-1.68%
23 Aug 2023,2522.2,2524.2,2542.85,2516.95,4758976,0.11%
22 Aug 2023,2519.4,2516.9,2537.95,2499,3856522,-0.02%
21 Aug 2023,2520,2539.95,2555.45,2515.65,4610873,-1.44%
18 Aug 2023,2556.8,2531.25,2577.6,2508.55,9319989,0.74%
17 Aug 2023,2538,2567.1,2578.1,2532.85,6836872,-1.44%
16 Aug 2023,2575.15,2551,2582.8,2551,5101556,-0.08%
14 Aug 2023,2577.25,2539,2582.3,2525,4787906,1.18%
11 Aug 2023,2547.15,2532.45,2558.85,2512.35,11089665,0.42%
10 Aug 2023,2536.45,2524.95,2550,2508.45,7735299,0.45%
09 Aug 2023,2525.2,2504.85,2529,2481.1,5743293,0.66%
08 Aug 2023,2508.65,2528,2534.45,2499.55,4922036,-0.60%
07 Aug 2023,2523.85,2521,2528.4,2505,2991435,0.57%
04 Aug 2023,2509.55,2498.8,2516,2471.6,11442805,1.36%
03 Aug 2023,2475.9,2475.3,2500.9,2458.05,5084175,-0.42%
02 Aug 2023,2486.35,2509.2,2512,2463.6,6374107,-1.07%
01 Aug 2023,2513.2,2555,2559,2505.3,4768316,-1.41%
31 Jul 2023,2549.25,2527.85,2553.9,2517.95,4275587,0.85%
28 Jul 2023,2527.85,2512.05,2542.85,2500.55,10413926,1.00%
27 Jul 2023,2502.7,2534.05,2537.65,2490.35,8613449,-0.93%
26 Jul 2023,2526.2,2485,2547,2485,6455506,1.63%
25 Jul 2023,2485.8,2494,2505.2,2480,6013010,-0.06%
24 Jul 2023,2487.4,2481,2514.95,2469.3,11863933,-2.02%
21 Jul 2023,2538.75,2609,2614.9,2523.6,15124619,-3.10%
20 Jul 2023,2619.85,2580,2630.95,2580,19358812,1.54%
19 Jul 2023,2580,2569.24,2592.85,2539.28,18054869,0.76%
18 Jul 2023,2560.57,2557.44,2576.01,2535.65,11937761,0.85%
17 Jul 2023,2539.01,2493.89,2555.67,2476.64,10254545,2.04%
14 Jul 2023,2488.17,2496.62,2506.51,2474.01,6979790,-0.08%
13 Jul 2023,2490.26,2527.39,2541.1,2485.04,6776172,-0.89%
12 Jul 2023,2512.73,2511.41,2543.82,2507.19,8645662,0.11%
11 Jul 2023,2509.96,2499.25,2514.77,2485.36,9262001,1.08%
10 Jul 2023,2483.04,2441.14,2502.06,2428.53,15340262,3.85%
07 Jul 2023,2390.94,2392.21,2419.4,2385.86,6172684,-0.20%
06 Jul 2023,2395.62,2338.69,2400.79,2338.69,8822948,2.10%
05 Jul 2023,2346.36,2368.61,2368.61,2338.47,4729479,-0.16%
04 Jul 2023,2350.22,2383.13,2383.13,2336.15,3720447,-1.03%
03 Jul 2023,2374.69,2322.35,2380.41,2319.9,5609248,2.57%
30 Jun 2023,2315.27,2311.77,2321.08,2300.02,5146441,0.82%
28 Jun 2023,2296.43,2281.45,2304.01,2267.7,5239872,1.32%
27 Jun 2023,2266.43,2266.52,2278.27,2257.53,4471687,0.04%
26 Jun 2023,2265.61,2276.01,2283.63,2259.39,5833893,-0.76%
23 Jun 2023,2283.04,2295.89,2299.97,2280.54,3059084,-0.82%
22 Jun 2023,2301.88,2320.49,2336.2,2298.7,3516244,-1.12%
21 Jun 2023,2328.03,2321.4,2333.06,2313.23,3212779,0.28%
20 Jun 2023,2321.49,2312.82,2327.75,2301.43,3194085,0.21%
19 Jun 2023,2316.68,2345.91,2345.91,2308.37,3137532,-0.99%
16 Jun 2023,2339.92,2324.3,2344.46,2324.3,11155180,0.97%
15 Jun 2023,2317.36,2316.68,2326.44,2301.88,5451926,0.03%
14 Jun 2023,2316.72,2288.72,2319.58,2285.08,6127509,1.23%
13 Jun 2023,2288.58,2265.11,2290.94,2257.17,5190958,1.48%
12 Jun 2023,2255.26,2247.41,2259.85,2237.87,2949893,0.09%
09 Jun 2023,2253.26,2276.01,2277.41,2249.68,2712243,-0.71%
08 Jun 2023,2269.33,2275.1,2284.95,2261.48,5570815,0.06%
07 Jun 2023,2267.97,2257.85,2269.65,2244.77,4759238,0.76%
06 Jun 2023,2250.9,2254.62,2258.48,2235.15,3458161,0.08%
05 Jun 2023,2249,2239.87,2254.9,2231.93,5034355,0.90%
02 Jun 2023,2228.98,2243.32,2254.08,2225.16,7291995,-0.33%
01 Jun 2023,2236.29,2251.63,2255.94,2231.52,6734525,-0.27%
31 May 2023,2242.32,2269.65,2278.59,2234.24,12510304,-1.99%
30 May 2023,2287.76,2288.35,2303.88,2282.68,5234564,-0.03%
29 May 2023,2288.35,2288.72,2296.89,2276.19,4619754,0.56%
26 May 2023,2275.55,2231.52,2277.82,2224.94,5827017,2.73%
25 May 2023,2215.13,2209.64,2223.35,2193.44,5301647,-0.01%
24 May 2023,2215.41,2220.53,2236.97,2209.23,3743804,-0.58%
23 May 2023,2228.39,2233.93,2240.6,2225.57,2811473,-0.02%
22 May 2023,2228.8,2210.64,2238.78,2208.23,3431208,0.53%
19 May 2023,2216.95,2209.78,2220.58,2195.98,3715280,0.32%
18 May 2023,2209.78,2223.85,2230.61,2203.51,4857531,-0.21%
17 May 2023,2214.54,2236.06,2237.87,2205.19,4060722,-0.59%
16 May 2023,2227.71,2264.2,2269.29,2224.39,4023000,-1.42%
15 May 2023,2259.89,2260.48,2273.78,2245.27,3153587,0.20%
12 May 2023,2255.44,2242.23,2258.21,2230.16,3209889,0.16%
11 May 2023,2251.77,2268.7,2278.27,2248.36,4872451,-0.65%
10 May 2023,2266.56,2260.57,2269.51,2252.58,5017544,0.69%
09 May 2023,2251.08,2246.95,2257.67,2236.29,2983468,0.31%
08 May 2023,2244.14,2224.26,2254.81,2218.95,4224469,1.23%
05 May 2023,2216.77,2216.09,2234.56,2211.55,4036548,-0.26%
04 May 2023,2222.44,2198.07,2226.84,2192.12,3985159,1.15%
03 May 2023,2197.11,2219.72,2219.72,2190.71,3259053,-0.86%
02 May 2023,2216.13,2211.73,2220.44,2204.37,5991101,0.85%
28 Apr 2023,2197.48,2162.52,2200.56,2162.3,7183342,1.83%
27 Apr 2023,2158.03,2156.17,2164.34,2146.18,4230627,0.63%
26 Apr 2023,2144.46,2159.8,2166.24,2137.15,3977129,-0.59%
25 Apr 2023,2157.12,2148,2161.25,2133.92,4262471,0.77%
24 Apr 2023,2140.73,2156.17,2161.52,2131.66,5970048,0.38%
21 Apr 2023,2132.56,2134.06,2143.46,2121.12,3529236,0.13%
20 Apr 2023,2129.88,2137.19,2141.64,2117.22,3233882,-0.25%
19 Apr 2023,2135.29,2123.53,2140.64,2117.31,5664207,0.50%
18 Apr 2023,2124.71,2157.98,2157.98,2111.68,4802172,-1.14%
17 Apr 2023,2149.31,2201.52,2201.52,2132.61,8274452,0.51%
13 Apr 2023,2138.46,2136.19,2147.82,2126.21,5712541,0.38%
12 Apr 2023,2130.43,2121.08,2149.63,2115.36,8389646,0.44%
11 Apr 2023,2121.08,2118.95,2125.3,2109.91,4865301,0.49%
10 Apr 2023,2110.64,2133.47,2133.83,2107.64,5981688,-0.71%
06 Apr 2023,2125.71,2104.56,2137.1,2104.56,8507771,0.67%
05 Apr 2023,2111.55,2131.66,2131.66,2095.84,7505339,-0.24%
03 Apr 2023,2116.63,2128.93,2132.56,2101.7,4750238,0.02%
31 Mar 2023,2116.27,2047.22,2127.52,2046.95,13001005,4.31%
29 Mar 2023,2028.79,2032.7,2037.96,2007.37,8678073,-0.59%
28 Mar 2023,2040.87,2038.15,2048.59,2030.88,5804018,0.47%
27 Mar 2023,2031.38,2013.18,2046.32,1997.47,6486068,1.55%
24 Mar 2023,2000.29,2038.37,2042.69,1995.48,5711497,-1.98%
23 Mar 2023,2040.69,2059.03,2060.75,2036.38,7499082,-1.26%
22 Mar 2023,2066.83,2074.46,2080.32,2060.84,5039622,0.30%
21 Mar 2023,2060.57,2014.5,2064.47,2012.73,9876263,3.11%
20 Mar 2023,1998.43,2010.91,2015.45,1979.13,9010595,-0.98%
